height_cm,weight_kg,temperature,salary,age,children_count,years_experience,gender,city,department,work_type,education,job_level,satisfaction,hire_date,phone
165.0,46.4,37.0,3620181.0,58,0,16,Female,Medan,HR,Office,S1,Senior,Medium,2020-01-01,564071
188.0,73.6,36.1,9376256.0,47,0,15,Male,Bandung,IT,Remote,SMP,Mid,Very High,2020-01-04,0898798296
179.3,59.1,36.2,9487621.0,34,0,14,Male,Surabaya,IT,Hybrid,SMA,Senior,Medium,2020-01-07,0820563214
173.9,67.9,37.3,10649159.0,37,4,22,Male,Medan,IT,Remote,D3,Mid,High,2020-01-10,0834374842
156.2,85.8,36.9,11713096.0,42,2,14,Female,Surabaya,IT,Remote,SMA,Senior,Low,2020-01-13,0891252249
156.2,56.2,36.0,14710225.0,39,0,4,Male,Jakarta,HR,Remote,SMA,Senior,High,2020-01-16,0897384552
152.3,63.5,36.2,9195604.0,30,2,20,Male,Bandung,HR,Remote,D3,Senior,Low,2020-01-19,0838172140
184.6,79.0,37.0,6875478.0,36,3,13,Male,Jakarta,Marketing,Office,SMA,Lead,Very High,2020-01-22,0868701337
174.0,55.3,36.0,12542234.0,53,1,1,Female,Jakarta,Finance,Office,D3,Lead,High,2020-01-25,0845119150
178.3,48.5,36.2,6249987.0,29,3,10,Male,Jakarta,HR,Remote,SMP,Junior,Medium,2020-01-28,0865471391
150.8,58.0,36.8,8267657.0,58,3,18,Female,Jakarta,HR,Hybrid,D3,Junior,Low,2020-01-31,137641
188.8,52.3,37.0,3941477.0,36,4,6,Female,Bandung,Finance,Hybrid,D3,Mid,Low,2020-02-03,0891597126
183.3,86.8,37.0,3304209.0,29,1,5,Male,Jakarta,HR,Hybrid,S1,Lead,High,2020-02-06,0833387092
158.5,81.4,36.3,14551781.0,26,3,27,Male,Bandung,IT,Hybrid,D3,Mid,Very High,2020-02-09,0829156053
157.3,73.5,37.1,13031761.0,24,3,1,Female,Bandung,IT,Remote,D3,Junior,High,2020-02-12,0849678201
157.3,84.2,36.4,11351690.0,45,1,5,Male,Surabaya,Finance,Office,SMP,Mid,Very High,2020-02-15,0811524102
162.2,81.2,36.5,7907435.0,31,1,17,Male,Medan,Marketing,Hybrid,S1,Junior,Very High,2020-02-18,0821579149
171.0,53.4,37.1,5079532.0,48,3,1,Female,Medan,Marketing,Remote,S2,Lead,Low,2020-02-21,0852607220
167.3,85.2,37.0,4877245.0,36,1,17,Female,Bandung,Finance,Hybrid,SMP,Senior,High,2020-02-24,0862715014
161.6,69.3,37.3,6002915.0,33,3,29,Male,Surabaya,Finance,Hybrid,SMP,Lead,High,2020-02-27,0879144712
